circuit_id,n_qubits,depth,ansatz,seed,mean_gradient_magnitude,gradient_variance,near_zero_percentage,n_trainable_parameters,n_gates
C0292,10,2,linear,43,0.031908739196008395,0.007650781038356903,44.25,40,58
C0293,10,2,linear,44,0.03200062205171173,0.006562362616966759,44.75,40,58
C0294,10,2,linear,45,0.02715052090611424,0.004583969236284934,47.0,40,58
C0295,10,2,linear,46,0.02345006787892198,0.005279956789979613,50.74999999999999,40,58
C0296,10,2,ring,42,0.010719421569676747,0.0014351703141704994,38.75,40,60
C0297,10,2,ring,43,0.014118641132727705,0.000857430277418508,35.25,40,60
C0298,10,2,ring,44,0.02184034488246394,0.002972676878265656,37.5,40,60
C0299,10,2,ring,45,0.01475358390651742,0.0010696545670202651,31.5,40,60
C0300,10,2,ring,46,0.017955980436357946,0.0024702350805938357,44.25,40,60
C0301,10,3,linear,42,0.01589361870433245,0.0020352169598395245,42.66666666666667,60,87
C0302,10,3,linear,43,0.024521884521677598,0.0038607728773346313,39.83333333333333,60,87
C0303,10,3,linear,44,0.02118552930835221,0.0028641223016261214,42.0,60,87
C0304,10,3,linear,45,0.020486354279720658,0.004217009231062207,41.833333333333336,60,87
C0305,10,3,linear,46,0.027074639217398253,0.004760244702767408,41.5,60,87
C0306,10,3,ring,42,0.010755794745383308,0.0004625185469602085,20.0,60,90
C0307,10,3,ring,43,0.01449230594935765,0.0005011680512847037,17.666666666666668,60,90
C0308,10,3,ring,44,0.014145428706077918,0.0006552464712434182,20.833333333333336,60,90
C0309,10,3,ring,45,0.01183763364232605,0.0003846473072009657,18.833333333333332,60,90
C0310,10,3,ring,46,0.010296966365455887,0.000312830489140964,25.0,60,90
C0311,10,4,linear,42,0.02317467517796713,0.0027322031831352356,36.375,80,116
C0312,10,4,linear,43,0.020405533885699906,0.0020791358008966435,35.875,80,116
C0313,10,4,linear,44,0.02139129486716259,0.0028330704131622154,36.0,80,116
C0314,10,4,linear,45,0.026323146159709508,0.0034181897765771197,35.0,80,116
C0315,10,4,linear,46,0.022147834439827124,0.0029332148457930185,36.0,80,116
C0316,10,4,ring,42,0.014726106035993914,0.00045284696834358394,14.374999999999998,80,120
C0317,10,4,ring,43,0.017265705039334486,0.0006424649229783028,14.75,80,120
C0318,10,4,ring,44,0.017747561032653136,0.0009587536018831873,17.125,80,120
C0319,10,4,ring,45,0.014427089494657527,0.00045424084601315776,13.750000000000002,80,120
C0320,10,4,ring,46,0.017114938950925154,0.0006150707822504432,13.875000000000002,80,120
C0321,10,6,linear,42,0.019989546254306316,0.0013784402576781972,29.666666666666668,120,174
C0322,10,6,linear,43,0.018654149858308305,0.0012767702433327682,30.75,120,174
C0323,10,6,linear,44,0.018074015180167338,0.0013955998380813012,28.416666666666668,120,174
C0324,10,6,linear,45,0.01846631490753832,0.0015250241584427353,29.75,120,174
C0325,10,6,linear,46,0.018337243376339303,0.0011868011785832059,30.0,120,174
C0326,10,6,ring,42,0.014657084711259566,0.00039622980177163807,10.583333333333334,120,180
C0327,10,6,ring,43,0.015303130604959334,0.00042711644187684567,12.583333333333332,120,180
C0328,10,6,ring,44,0.015575353996437136,0.00045605667116118813,12.833333333333332,120,180
C0329,10,6,ring,45,0.01564637136041505,0.0004338869799958093,10.833333333333334,120,180
